#chrom	start	end	size	num_data	min	max	mean	median	sum
chr1	65369	65719	350	0	NA	NA	NA	NA	NA
chr1	450690	451040	350	0	NA	NA	NA	NA	NA
chr1	685629	685979	350	0	NA	NA	NA	NA	NA
chr1	923873	924223	350	350	0.33	2.85	1.07	1.00	375.73
chr1	944153	944503	350	350	1.17	20.38	10.21	7.42	3572.34
chr1	960534	960884	350	350	0.48	5.61	2.03	1.00	708.75
chr1	966432	966782	350	350	0.21	0.64	0.42	0.36	146.79
chr1	975154	975504	350	350	0.20	2.85	0.86	0.50	302.72
chr1	998912	999262	350	350	0.32	3.77	1.21	0.67	422.16
chr1	1001088	1001438	350	350	0.42	2.49	1.17	0.93	408.81
chr1	1020070	1020420	350	350	1.00	2.85	1.37	1.00	479.19
chr1	1070917	1071267	350	350	0.59	3.10	1.54	1.31	537.43
chr1	1081768	1082118	350	350	0.64	2.18	1.04	0.95	363.57
chr1	1173830	1174180	350	350	0.20	4.69	2.27	1.00	794.95
chr1	1203458	1203808	350	350	0.47	5.61	2.46	0.95	860.60
chr1	1211290	1211640	350	350	0.57	1.56	0.86	0.63	301.93
chr1	1216859	1217209	350	350	0.25	1.00	0.53	0.33	185.92
chr1	1232187	1232537	350	350	0.50	2.85	1.77	1.00	620.34
chr1	1242396	1242746	350	350	0.25	0.62	0.42	0.48	147.93
chr1	1253859	1254209	350	350	0.25	0.95	0.49	0.47	171.89
chr1	1280386	1280736	350	350	0.11	0.93	0.43	0.41	150.70
chr1	1292340	1292690	350	350	0.93	3.73	2.04	2.18	715.51
chr1	1308547	1308897	350	350	2.18	6.54	3.82	3.77	1336.24
chr1	1311535	1311885	350	350	0.12	0.94	0.58	0.54	202.53
chr1	1324706	1325056	350	350	0.95	4.65	1.64	1.40	574.71
chr1	1331230	1331580	350	350	0.64	7.46	3.34	3.27	1169.71
chr1	1335226	1335576	350	350	0.94	3.77	2.16	1.92	755.23
chr1	1352639	1352989	350	350	0.94	2.81	1.71	1.24	599.98
chr1	1373680	1374030	350	350	1.63	6.54	2.76	2.10	966.13
chr1	1385661	1386011	350	350	0.82	5.61	2.20	1.49	769.14
chr1	1401859	1402209	350	350	0.40	6.04	3.16	2.49	1106.25
chr1	1418370	1418720	350	350	0.82	1.63	1.18	1.09	413.20
chr1	1425821	1426171	350	350	0.14	0.78	0.50	0.47	173.76
chr1	1434811	1435161	350	350	0.17	3.77	0.89	0.25	313.03
chr1	1449639	1449989	350	350	0.95	5.61	2.59	2.35	906.94
chr1	1471715	1472065	350	350	0.25	2.18	1.23	1.12	429.16
chr1	1512112	1512462	350	350	1.42	2.81	1.94	1.92	679.65
chr1	1534728	1535078	350	350	0.38	2.49	1.32	0.63	462.17
chr1	1541623	1541973	350	350	0.54	3.27	1.95	1.63	683.78
chr1	1597962	1598312	350	350	0.25	3.72	1.08	0.48	379.48
chr1	1615404	1615754	350	350	0.73	13.92	3.39	2.55	1186.76
chr1	1632113	1632463	350	350	1.00	2.85	1.33	1.00	466.27
chr1	1635175	1635525	350	350	0.64	1.00	0.89	1.00	312.81
chr1	1659479	1659829	350	350	0.20	1.00	0.46	0.33	161.08
chr1	1702329	1702679	350	350	0.50	3.27	1.29	1.00	452.95
chr1	1751182	1751532	350	350	1.00	1.00	1.00	1.00	350.00
chr1	1785235	1785585	350	350	0.20	5.11	1.34	0.94	468.00
chr1	1915058	1915408	350	350	0.63	2.35	1.22	0.94	425.42
chr1	1917540	1917890	350	350	0.71	2.49	1.68	2.18	588.95
chr1	1921901	1922251	350	350	0.17	0.71	0.50	0.63	175.87
chr1	2019279	2019629	350	350	1.00	2.85	1.42	1.00	495.80
chr1	2050361	2050711	350	350	0.94	4.69	2.97	3.77	1039.53
chr1	2184411	2184761	350	350	0.70	1.70	1.35	1.33	472.01
chr1	2228269	2228619	350	350	1.00	1.00	1.00	1.00	350.00
chr1	2321203	2321553	350	350	0.36	0.57	0.47	0.48	164.25
chr1	2391725	2392075	350	350	0.20	3.77	0.74	0.38	257.96
chr1	2403914	2404264	350	350	0.48	5.61	2.79	2.81	975.29
chr1	2425930	2426280	350	350	0.17	3.73	1.90	1.87	666.63
chr1	2508487	2508837	350	350	0.71	2.35	1.35	1.26	474.16
chr1	2528695	2529045	350	350	0.71	1.26	1.03	0.95	360.95
chr1	2555589	2555939	350	350	1.26	5.61	2.95	2.81	1032.67
chr1	2586441	2586791	350	350	0.47	1.26	0.82	0.71	287.22
chr1	2590589	2590939	350	350	0.20	1.00	0.51	0.33	179.75
chr1	2635926	2636276	350	350	0.94	4.69	3.28	3.77	1148.89
chr1	3021417	3021767	350	350	0.47	0.96	0.78	0.80	272.48
chr1	3069118	3069468	350	350	0.64	1.42	1.01	1.00	355.15
chr1	3454615	3454965	350	350	0.64	3.77	1.95	1.56	682.93
chr1	3487901	3488251	350	350	0.47	2.18	0.89	0.71	311.62
chr1	3624965	3625315	350	350	1.63	4.69	3.65	3.77	1277.48
chr1	3630717	3631067	350	350	0.14	2.49	0.52	0.27	182.99
chr1	3652466	3652816	350	350	0.38	0.94	0.57	0.48	200.95
chr1	3746410	3746760	350	350	0.33	5.61	2.66	2.81	932.21
chr1	3772699	3773049	350	350	1.63	8.38	4.40	4.19	1541.44
chr1	3778509	3778859	350	350	0.64	1.56	1.00	0.95	351.02
chr1	3812036	3812386	350	350	0.63	5.61	1.98	1.49	691.80
chr1	3857217	3857567	350	350	0.20	0.95	0.44	0.33	152.93
chr1	3889075	3889425	350	350	0.12	1.68	0.63	0.41	220.28
chr1	4654559	4654909	350	350	0.25	1.00	0.66	1.00	230.75
chr1	5862761	5863111	350	350	0.11	7.46	2.61	1.42	912.63
chr1	5990877	5991227	350	350	0.12	1.88	1.02	1.12	355.35
chr1	6101737	6102087	350	350	1.00	2.85	1.76	1.92	614.84
chr1	6159380	6159730	350	350	0.38	4.69	2.34	2.85	818.04
chr1	6184970	6185320	350	350	0.52	1.42	0.74	0.75	260.21
chr1	6205425	6205775	350	350	0.94	2.10	1.24	1.12	432.68
chr1	6221143	6221493	350	350	0.94	6.54	2.83	2.35	990.83
